"","Brand_Description","Price","Review_Count","Rating"
"1"," 832 Single Board Server Router X86 Single Board Computer Personal Cloud Network Attached Storage 4K Media Server Dual Gigabit Gateway - PCIe x4 SATA 6.0 Gb/s for HDD/SSD  4.3 out of 5 stars 190  50+ bought in past month$229.99$229.99 FREE delivery Tue, Jan 30 Or fastest delivery Fri, Jan 26 More Buying Choices$207.20(2 used & new offers)","229.","190","4.3 out of 5 stars"
"2"," DellPowerEdge R530, R730, R730, R540, R740, R740XD, R820, R830, R7415, R7425 2U Ready Rail Kit - H4X6X  4.6 out of 5 stars 49  50+ bought in past month$78.00$78.00 List: $87.20$87.20 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 More Buying Choices$53.45(12 used & new offers)","78.","49","4.6 out of 5 stars"
"3"," TrueNAS Mini XL+ Compact ZFS Storage Server with 8 + 1 Drive Bays, 32GB RAM, Eight Core CPU, Dual 1/10 Gigabit Network (Diskless)  4.9 out of 5 stars 33  $1,649.00$1,649.00 FREE delivery Wed, Jan 31 Only 13 left in stock - order soon.Small Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ","1,649.","33","4.9 out of 5 stars"
"4"," Dell T7810 “Chia Farming” Workstation/Server, 2X Intel Xeon E5-2690 v4 up to 3.5GHz (28 Cores & 56 Threads Total), 128GB DDR4, Quadro K620 2GB Graphics Card, No HDD, No Operating System (Renewed)  3.6 out of 5 stars 49  $520.64$520.64FREE delivery Jan 29 - 31 Only 3 left in stock - order soon.Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) Pre-owned Certified: Electronics","520.","49","3.6 out of 5 stars"
"5"," DellPowerEdge R320, R420, R620, R330, R430, R630, R640 1U Ready Rail Kit - 81WCD  4.7 out of 5 stars 30  50+ bought in past month$85.00$85.00FREE delivery Jan 25 - 26 Only 18 left in stock - order soon.More Buying Choices$69.97(13 used & new offers)","85.","30","4.7 out of 5 stars"
"6"," RAISING ELECTRONICS1U Rack Mount Sliding Keyboard Tray Cantilever for Server Data Network Rack  4.0 out of 5 stars 67  $59.99$59.99 FREE delivery Tue, Jan 30 Or fastest delivery Fri, Jan 26 Small Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more More Buying Choices$52.40(3 used & new offers)","59.","67","4.0 out of 5 stars"
"7"," PowerEdge Dell R630 Server | 2X E5-2690 v4 = 28 Cores | 128GB RAM | 2X 1TB SSD (Renewed)  3.5 out of 5 stars 11  $424.52$424.52FREE delivery Thu, Feb 1 Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) Pre-owned Certified: Electronics","424.","11","3.5 out of 5 stars"
"8"," Enterprise Proliant DL380 G9 Server | 2X E5-2660v3 20 Cores | 192GB | P440 | 8X 600GB (Renewed)  4.7 out of 5 stars 23  $400.00$400.00FREE delivery Thu, Feb 1 Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) Pre-owned Certified: Electronics","400.","23","4.7 out of 5 stars"
"9"," Dell Precision 7910 / T7910 Tower - 2X Intel Xeon E5-2670 V3 12-Core 2.3Ghz - 64GB DDR4 REG - Nvidia Quadro K2000 2GB - 12.24TB (240gb SSD | 3X 4TB 12Gb/s SAS New) - 1300w PSU - (Renewed)  4.3 out of 5 stars 8  $525.77$525.77 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 Only 11 left in stock - order soon.Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) Pre-owned Certified: ElectronicsMore Buying Choices$515.48(3 new offers)","525.","8","4.3 out of 5 stars"
"10"," Dell PowerEdge R730 Server | 2X E5-2680V3 2.50GHz = 24 Cores | 128GB | H730 | 36TB Storage (Renewed)  4.2 out of 5 stars 7  $573.91$573.91 FREE delivery Mon, Jan 29 Only 2 left in stock - order soon.Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) Pre-owned Certified: Electronics","573.","7","4.2 out of 5 stars"
