"Category","Brand_Description","Price","Review_Count","Rating"
"Headphones"," Tune 510BT: Wireless On-Ear Headphones with Purebass Sound - Black  4.6 out of 5 stars 49,804  10K+ bought in past month$49.95$49.95 FREE delivery Mon, Jan 29 Or fastest delivery Tomorrow, Jan 25 More Buying Choices$44.95(13 used & new offers)","49.","49,804","4.6 out of 5 stars"
"Headphones"," Sony WH-1000XM5 The Best Wireless Noise Canceling Headphones with Auto Noise Canceling Optimizer, Crystal Clear Hands-Free Calling, and Alexa Voice Control, Black  4.5 out of 5 stars 11,903  6K+ bought in past month$398.00$398.00 FREE delivery Mon, Jan 29 Or fastest delivery Tomorrow, Jan 25 Alexa Built-in  Alexa Built-inAlexa Built-in devices let you talk directly to Alexa, allowing you to play music, control your smart home, get news, weather, and more using your voice. Learn more More Buying Choices$211.93(78 used & new offers)","398.","11,903","4.5 out of 5 stars"
"Headphones"," Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office  4.5 out of 5 stars 72,816  10K+ bought in past month$59.99$59.9920% coupon applied at checkoutSave 20%  with coupon  FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) TCO CertifiedMore Buying Choices$59.98(4 used & new offers)Price may vary by color","59.","72,816","4.5 out of 5 stars"
"Headphones"," Tune Flex - True Wireless Noise Cancelling Earbuds (Black), Small  4.3 out of 5 stars 1,411  10K+ bought in past month$99.95$99.95FREE delivery Fri, Jan 26 ","99.","1,411","4.3 out of 5 stars"
"Headphones"," HT2 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio Custom EQ via App Deep Bass Comfort Fit Ear Cups, for Home Office Travel  4.7 out of 5 stars 1,678  10K+ bought in past month$49.99$49.99 List: $79.99$79.99$10.00 coupon applied at checkoutSave $10.00  with coupon  FREE delivery Mon, Jan 29 Or fastest delivery Tomorrow, Jan 25 Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certifications (2) Global Recycled Standard Recycled Claim Standard BlendedMore Buying Choices$29.57(18 used & new offers)","49.","1,678","4.7 out of 5 stars"
"Headphones"," +1bmani Wireless Earbuds Bluetooth Headphones 48hrs Play Back Sport Earphones with LED Display Over-Ear Buds with Earhooks Built-in Mic Headset for Workout Black  4.4 out of 5 stars 41,016  10K+ bought in past month$39.99$39.99 List: $58.99$58.9940% coupon applied at checkoutSave 40%  with coupon  FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 More Buying Choices$35.58(8 used & new offers)+  ","39.","41,016","4.4 out of 5 stars"
"Headphones"," Sony WH-CH720N Noise Canceling Wireless Headphones Bluetooth Over The Ear Headset with Microphone and Alexa Built-in, Black New  4.5 out of 5 stars 3,503  5K+ bought in past monthClick to see priceFREE deliveryOnly 15 left in stock - order soon.Alexa Built-in  Alexa Built-inAlexa Built-in devices let you talk directly to Alexa, allowing you to play music, control your smart home, get news, weather, and more using your voice. Learn more Also available in White","","3,503","4.5 out of 5 stars"
"Headphones"," NEW Bose QuietComfort Wireless Noise Cancelling Headphones, Bluetooth Over Ear Headphones with Up To 24 Hours of Battery Life, Black  4.5 out of 5 stars 903  4K+ bought in past month$349.00$349.00FREE delivery Fri, Jan 26 More Buying Choices$319.99(9 used & new offers)","349.","903","4.5 out of 5 stars"
"Headphones"," Sony WH-1000XM4 Wireless Premium Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Black WH1000XM4  4.6 out of 5 stars 54,330  4K+ bought in past month$348.00$348.00FREE delivery Jan 25 - 26 Alexa Built-in  Alexa Built-inAlexa Built-in devices let you talk directly to Alexa, allowing you to play music, control your smart home, get news, weather, and more using your voice. Learn more More Buying Choices$162.24(51 used & new offers)","348.","54,330","4.6 out of 5 stars"
"Headphones"," NEW Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  4.0 out of 5 stars 1,306  4K+ bought in past month$299.00$299.00 FREE delivery Mon, Jan 29 Or fastest delivery Fri, Jan 26 More Buying Choices$199.16(15 used & new offers)Also available in White Smoke","299.","1,306","4.0 out of 5 stars"
"Headphones"," Bluetooth Headphones Wireless Earbuds 80hrs Playtime Wireless Charging Case Digital Display Sports Ear buds with Earhook Premium Deep Bass IPX7 Waterproof Over-Ear Earphones for TV Phone Laptop Black  4.5 out of 5 stars 9,840  10K+ bought in past monthLimited time deal   $25.99$25.99 List: $58.99$58.99 FREE delivery Mon, Jan 29 on $35 of items shipped by AmazonOr fastest delivery Fri, Jan 26 More Buying Choices$25.73(3 used & new offers)+  ","25.","9,840","4.5 out of 5 stars"
"Headphones"," SAMSUNG Galaxy Buds 2 Pro True Wireless Bluetooth Earbuds, Noise Cancelling, Hi-Fi Sound, 360 Audio, Comfort Fit In Ear, HD Voice, Conversation Mode, IPX7 Water Resistant, US Version, Graphite  4.5 out of 5 stars 6,268  5K+ bought in past month$168.99$168.99 List: $229.99$229.99 FREE delivery Tue, Jan 30 Or fastest delivery Fri, Jan 26 More Buying Choices$97.16(40 used & new offers)Price may vary by color","168.","6,268","4.5 out of 5 stars"
"Headphones"," +2 colors/patternsWireless Earbuds Bluetooth Headphones, 40H Playtime Stereo IPX5 Waterproof Ear Buds, LED Power Display Cordless in-Ear Earphones with Microphone for iOS Andriod Cell Phone Sports  4.9 out of 5 stars 2,036  10K+ bought in past month$21.99$21.99 List: $79.99$79.9910% coupon applied at checkoutSave 10%  with coupon  FREE delivery Mon, Jan 29 on $35 of items shipped by AmazonOr fastest delivery Fri, Jan 26 More Buying Choices$19.54(3 used & new offers)","21.","2,036","4.9 out of 5 stars"
