"User","Comment","Rating","Date"
"851222","Greetings from Lithuania.I don't watch romantic movies often, but when i heard about story of ""One day"" i thought of giving it a chance. And it sure didn't disappoint me. This is a really good love story, told in a single day in a year in period of 23 years. Movie is beautifully filmed, with great acting by the two leads, especially from Anne Hathaway. She's just so ... beautiful in every meaning of this word. Can't wait to see her next summer in ""TDKR"". ""One day"" isn't your typical Hollywood love story and you can clearly FEEL that watching it. Give this movie a chance and you can be really surprised that when this movie will end, you'll fell your self a little ... brighter.","9","16 October 2011"
"achyutaghosh","Disclaimer first up- biased review, as I am a sucker for love stories.I used to think that Hollywood had stopped making emotionally involving love stories. Thank god they made One Day, then. Based on the best selling book by British author Dave Nicholls, the movie explores the intertwined lives of two protagonists of contrasting nature, yet fated to be together. The premise is novel, with the relationship explored though a peek into 15th July of each year, spread over 22 years. Good stories are brought to life by good acting, and here we have two superb exponents in lead roles- Jim Sturgess as Dexter and Anna Hathaway as Emma. Dexter leads the high profile life, a television anchor with success in all forms chasing him, always. But then his life is also hollow, his friends shallow, and in the end, a faces disillusionment and compromise. Emma dwells in obscurity mostly, but through sheer tenacity and belief achieves a modicum of success as a writer. They meet when they are 18, decide to remain lifelong friends, and they do remain so. In the meanwhile meandering through the vagaries of life, they are inexorably drawn towards each other, dependent on each other.Childhood sweethearts, even if long lost, when they do come together, they do get together without any questions asked- i say this having witnessed the same on a close friend of mine. And you cant help but fall in love with Emma and Dexter- their love story is so compelling and adorable, that you become a part of their story, you care for them, you laugh with them, and also cry, you want them to do what you would do, and yes, you desperately want a happy ending for them.And of course there is Anna Hathaway-suitably rumpled and grunge in the first half, and elegance and grace personified in the second, when she flashes her pearly whites, the world seems to be a better place to live.Why do people in love get to be in love in the best of locations? One Day happens in picturesque Edinburgh, colourful London, and stylish Paris. And the best thing that makes it stand out among all love stories is that it is not predictable, till the very end. People and things change with time, but memories remain the same.- here's a movie that raises a toast to happy memories, a Must watch for mushy folks!","8","23 November 2011"
"Philby-3","One Day Two eighties graduates in Edinburgh have an encounter on graduation day, July 15th ; the film follows their relationship by annual updates. Dexter (Jim Sturgess) brilliant, charismatic and a total narcissist and Emma (Ann Hathaway), a demure, warm sort are not a great match and both hitch up with others, but their friendship endures.The film is romantic, but only to a point, and can hardly be described as a comedy; there is too much pain for that, despite some funny dialogue. It is a kind of growing older movie – early promise turning sour, bright young ambitious things tasting failure and settling for something less. The story is cleverly told and nicely shot, with good support from Ken Stott and Patricia Clarkson as Dexter's disapproving parents and Rhys Spall as Emma's husband. Jim Sturgess looks and acts uncannily like a younger Rupert Graves, who has portrayed a long line of charming handsome wastrels. Ann Hathaway might be from New York but she plays Emma perfectly – the dialect coaches really earned their money. Both of the principals manage to evoke our sympathy, though Sturgess has the harder job.July 15 is St Swithin's day. On that day in 1415 the English Army led by Henry V (alias Laurence Olivier or Kenneth Branagh) defeated a larger French force at Agincourt. This has absolutely nothing to do with the movie though Dexter and Emma do at one stage venture to Brittany, where they manage to lose their clothes in one of the film's more comedic moments.I couldn't help feeling the story arc was rather predictable but I was absorbed nonetheless. At the end I'm not sure what the attraction was for Emma – she was smart enough to realise Dexter was a jerk but somehow she couldn't resist. He does get better – perhaps deep down she wanted to reform him. Or perhaps deep down she wanted to be a bit wild too. A film for generation Xers who are wondering what the hell happened to their youthful dreams and plans.","6","14 September 2011"
"napierslogs","""One Day"", based on the novel of the same name, is the relationship of two people, Emma (Anne Hathaway) and Dexter (Jim Sturgess), as we see it on July 15th of each year. As can be expected from the nature of the story, it's a little dry, lacking in comedy. But then again, it's a romantic drama, not a romantic comedy.As is the nature of the two media, movies can never be exactly the same as the novel. But the problem with this one is that they tried to; no story lines were removed. Almost everything was there, just shortened into mostly meaningless segments. I personally could have done with one less event in their lives, and perhaps a different ending, but they tried to be as faithful as possible.What we have here is a movie about a relationship, but the novel was about the people. They traded in character depth and development so we can see them in their more attractive years falling in and out of love.I wasn't very familiar with Jim Sturgess, having seen him play skinny, slightly nerdy, not as confident kids. Dexter is a different breed of guy. Just has high on self-confidence as he is on drugs and alcohol, he gets by on his looks – literally – he's a TV host. Although the different characteristics of Dexter weren't explicitly shown in the movie, Sturgess brought them out in him perfectly. Emma is a more complex character, with significant evolution to who she is throughout the years, except none of that is in the movie, so it just wasn't really possible for Hathaway to portray her as a more interesting person.I would assume that watching ""One Day"" without the benefit of having read the novel would be a fairly confusing, empty experience. With the background that the novel gave me, I could fill in all the missing years and the unexplored layers to the characters, so there was still something to their relationship for me.","10","19 August 2011"
"TheBobbyjames","Very seldom in Hollywood are movies produced that are as emotionally involving as 'One Day.' It's a beautiful, beautiful love story of two people, Emma (Anne Hathaway) and Dex (Jim Sturgess). After spending the night together after graduation, we are taken on a journey into their lives for one day each year after they met; to see where they are or where they're not. Based on the book by David Nicholls (who also wrote the screenplay), 'One Day' transitions from novel to film brilliantly.First let me say film acting is what I believe makes or breaks a movie - if the actors are great, the movie is generally great. That's not to take away from any other element of film at all, but when everything else is done so well, if the acting were bad, the film would have been less memorable. But Anne Hathaway and Jim Sturgess are so very impressive here. They make their characters real and relatable, which are two key things every actor internally wishes they could do. In fact, as an on-screen pair, they work extremely well, together they exude chemistry.What I found most interesting about the entire experience was that I cared so much. I became enamoured with their lives. I kept hoping for the best. I anticipated what would happen to each of them. I sat forward, sat backward. I laughed and I cried. I've said many times before, a great movie will effect you emotionally in more ways than one. You'll be angry, you'll be happy, you'll be sad - the key is that you emote. This movie presented all of those elements. It was fresh and witty and everything you hope a movie will be. It's as beautifully made as it is acted and the locations are exquisite. Far too often, characters in Hollywood seem contrived and are not genuine. 'One Day' is honestly one of the most genuine stories ever told - there is no instant gratification, there is however frustration and that is the beauty of it all. It explores love and love lost, it explores friendship and the constraints of time and distance. It explores each character's journey to happiness and the trials they face along the way. So many little pieces of the puzzle are filled in between the years by simple, single lines of dialogue or actions. It's not the typical script of ""everything's all good-obstacle-everything ends well"" - there's a lot more complexity which makes it realistically genuine.So many little details, like eye-lines, smiles, sighs, cut-off conversations, etc. were paid attention to. The costuming, cinematography and score were spot on and all noteworthy. All of it combined was moving and awe-inspiring. I left the theater crying, but it didn't stop there, even thinking about the movie and those characters is deeply affecting. Maybe there are some underlying themes in the film that I'm identifying with, or maybe, just maybe the actors were really that great. Whatever it is, this film comes with my highest recommendation, is rated PG-13 and runs 107 minutes.","7","31 August 2011"
"TheLittleSongbird","The book was a wonderful read. One Day was a movie I was looking forward to, and while it was disappointing I found it very pleasant.What made the book so good and such a joy to read was not just the emotional impact, modern angst and characterisation but also how nostalgic it made me. The emotional impact and angst is here in the movie, what wasn't quite there was the nostalgia-evidence of it but could've been more- and characterisation which does feel choppy especially with Patricia Clarkson's Alison though Dexter is well realised.That said, I loved the beautiful look of the film, the soundtrack which gave the film its sense of nostalgia and the witty banter between Sturgess and Hathaway. The romantic elements are touching though the comedic elements don't always work coming across as a tad contrived. The direction is decent, the telling of the story is well paced(if somewhat glacial) and faithful and the script has some nice touches but also some weak ones. Of the support performances I thought Rafe Spall, Romola Garai and Ken Stott were the most effective and Clarkson was good if deserving of more to do. The picture belongs to Jim Sturgess, while staying true to his bad boy character of Dexter he also manages to be sympathetic.My feelings on Anne Hathaway were mixed. I loved her radiance and her chemistry with Sturgess, but her accent was inconsistent and felt forced and unnatural whenever she tried it. The shock ending also felt more bewildering than anything else, not the actual tragedy itself but rather the flashbacks that succeeded that I wasn't sure was really needed.In conclusion, pleasant if not entirely successful. 6.5/10 Bethany Cox","10","31 August 2011"
"JimmyCollins","Words cannot describe how wonderful an actress Anne Hathaway is, and in One Day she is in fine form, if there ever was an actress to go down in the history books among the greats it would be her. Jim Sturgess is quite a charming devil swell.The story that takes place in One Day is at moments the anti love story and other times a sweeping epic romance, even though this movie has been adapted from a book it's still a lot more original than other romantic themed films of late. Lone Scherfig definitely suits this style of English romance, starting with An Education and now this, it may sound mean but I just don't think the romantic dramas that come from the U.S have the same genuine feel that the English films do.I had read the book and i have to say that this is a very loyal adaptation, much of the beauty from the book is clear and present here, particularly the friendship aspect between Dex and Emma, in the book it's a quirky kind of friendship and it transferred well on the screen as, I was very pleased that the film makers didn't ruin that with a cheap silly sexual type of friendship.I could say a lot about how lovely this movie is but I think I'll let everyone make up their own mind. A lot of people have a bad opinion of this movie which I find baffling but I suppose each to their own, I just got totally wrapped up in this gorgeous romance.10 out of 10","9","3 September 2011"
"queen_of_naboo88","I went to see One Day last night, and though I had been looking forward to it for a while, I was surprised at how good it actually is. The film has a very unique atmosphere, as it is much quirkier than your average romance. Also, without giving away the ending, I can say that it isn't as predictable as one might think. What I really liked about it was the complexity of the different human relationships that we are shown. The relationship between Emma and Dexter is by no means an easy one, nor is it one-sided. Given how different they are, there is a lot of conflict between them, although they do love each other. Similarly, what Dexter and his ex-wife feel for one another is never pure hatred, but there is a lot of understanding between them. As a consequence, the story seems like it could be taken from real life. Plus, both Hathaway and Sturgess are as convincing as always, which makes this film absolutely worth seeing.","9","19 August 2011"
"guest_pabby","After perusing other reviews for this movie, I believe that many of the ratings are low, not because viewers disliked the movie, but because they disliked the element in which the film shines. The film succeeds in drawing the audience into the friendship between the main characters, played by Jim Sturgess and Anne Hathaway. Both characters find happiness and meaning in parts of their lives, while suffering through other portions without attaining goals they've set for themselves; i.e., this is real life.What the poorly-rating reviewers seek is escapism. In my view--however limited--this film aims to depict two human beings as they learn, grow, and fall in and out of touch with one another. Thus, don't expect any fairy tales here and don't punish the rating on this movie because it isn't a fairy tale! A predictable conclusion to this movie would place Sturgess and Hathaway side by side, married, and living together untouched by the trials of a realistic relationship. Instead, the director effectively and with calculation showcases some of life in the scenes and merely hints at events not shown on the screen. As the film narrates exclusively through one date each year (hence, the name), partial narratives are expected. The final third of the film, shunned by a few reviewers, elevated the creative vision of the story because it introduces the unpredictable nature of real life into a movie that was otherwise a run-of-the-mill romance. Again, speaking in terms of the development between characters, the movie is above average. Speaking in terms of storyline, the first two-thirds, to a certain degree, lack what the final third delivers: surprise! The juxtaposition of the present with the past near the end of this film makes the events even more potent than they would have been. Audience members who do not fall into the ""half-wit"" category can follow the story, regardless of what the viewers who read the novel state in their reviews. Bravo! Lastly, Anne Hathaway is exceedingly lovely.","4","3 September 2011"
"ferguson-6","Greetings again from the darkness. I have not read David Nicholls' novel, but my understanding is that it is extremely well written and its loyal readers really connected with Emma and Dexter. If that's true, then this film version is even worse than I thought while watching.This literally is my least favorite type of movie. A movie that assumes its viewers are unable to think for themselves or judge the actions of its characters. In other words, the filmmakers take for granted that we will accept whatever is shown on the big screen.First let me say that I completely understand the school girl crush that a young Emma (Anne Hathaway) has on her classmate Dexter (Jim Sturgess). He is handsome and charismatic and comes from more money than she. I also understand Dexter's attraction to the lovely Emma. She is very pretty - despite the ridiculous over-sized glasses for the early scenes - and very intelligent, and a significantly nicer person than he.What makes absolutely no sense to me is her continued attraction to this drunken, empty soul for the next twenty years. She is too smart to pine away the years hoping he will wise up and coming running to her. We are supposed to believe that she has no interest in any other relationship other than the non-threatening one with flopping stand-up comedian Ian (played by Timothy Spall's son Rafe) and a ""boring"" French Jazz Pianist.Dexter's mother is played by Patricia Clarkson. As she is dying from cancer, she tells him that she believes he will grow into a good man, but isn't there yet. I guess we are supposed to take her word for it. Instead we only see Dexter go from a selfish pig as a TV personality to a defeated man who must perform manual labor for the first time in his life. My issue is that a defeated man is not necessarily a good man. A man resigned to his life has not necessarily reached enlightenment. Where is Emma's proof that he deserves her? Where is the indication that her life with him will be better? I tell you where ... in the mind of that school girl from years ago.Please don't mistake my words as that of one who has no faith in romantic stories. There are so many ways this story could have turned that it would have had me. Instead it chose a path that assumed I was ignorant ... totally accepting of ridiculous story being laid out for me.My final comments on the film involve the cast. Anne Hathaway is an incredibly talented performer. She is not, however, British. Her accent is terribly distracting. Jim Sturgess is a handsome guy, but just not charismatic enough to pull off the TV personality role. Patricia Clarkson is a fantastic actress, but she is not British either. Seriously, are there not enough British actresses? The casting smells like a money-grubbing production team. As for director Lone Scherfig ... her previous film An Education was cinematic excellence. This is an unacceptable follow-up and we expect better next time.I will say the locations of Edinburg, London and Paris were beautiful and different than we usually get from the movies. That provided the only real enjoyment from this highly disappointing movie.","5","21 August 2011"
