"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"david-626-148063","24 October 2018","Wow! I feel mind-blown after watching the world premiere yesterday evening. I am whether a megahuge Queen fan (although I really like many of their songs), nor do I know how accurate the storytelling is (, but I suppose pretty accurate since both Brian May and Roger Taylor are co-producers of the film), but I found the movie both intoxicating and moving. I have read some of the professional reviews, and I cannot comprehend their search of documentary wisdom in this movie; this is not a documentary, but an entertaining story of one of the world's most iconic bands. And the film delivers on all aspects. (And the critics were so wrong about the song Bohemian Rhapsody upon its release).As Brian May pinpointed in the interview on the red carpet, he found that the casting was excellent (I don't remember the exact word he used). But he is so right. Every major role is perfectly casted, and all the band members are brilliant. But I must emphasize Rami Malek's role as Freddie. It has Oscar written all over it. What he does, is almost beyond comparison. Chapeau for even taking on this role, and then delivering what he does. Even better, although marginally, than Michael Douglas in Behind the Candelabra. And Gwilym Lee as Brian May is also a bull's eye, but Malek really carries the production on his tiny shoulders. It was like watching our beloved Freddie all over again.Many, many memorable moments, but the Live Aid performance recreated: it is one of the best scenes I have ever seen - and I have seen lots and lots of films. Chapeau for director(s) and producers and the whole team for to me delivering the best film YTD in 2018!!","
            10/10
            "
"brankovranjkovic","25 October 2018","Biopic.Charts the rise to fame of one of the greatest rock bands ever.Touches on Freddie Mercury's (his stage name) background, then how he met the band and became their front man, the development of their unique sound, their meteoric rise to fame, and the key moments leading to Band Aid.Briefly (probably too briefly) touches on Freddie's AIDS condition.The film starts at the same moment as it ends with Freddie arriving on (Live Aid) stage, the last 15 minutes is their whole Live Aid performance.Before the film my wife said to me ...
""I'm not a fan, I didn't like their music, and I'm not looking forward to this""
After the film my wife said to me ...
""I really enjoyed that, think I'm a fan""So ... this film is good, whether you think you're a fan or not.","
            9/10
            "
"LenaKrones","23 October 2018","I just saw the world premiere and oh boy let me tell you about it:This movie might not be a masterpiece but my heart is filled with such happiness and joy after watching it that I think it's going to burst (sorry for the cheesiness), Freddie Mercury, Brian May, Roger Taylor and John Deacon are so exquisitely portrayed I sometimes forgot it wasn't them, the performances were so on point and so powerful you could feel the energy burst through the screen. ¿Have you seen the famous car scene in Wayne's world? well, now imagine a full room doing the same, people couldn't help but sing along (lets be honest, it's impossible not too).I laughed, cried, sang and wished I could have seen Queen live, this band will live forever.","
            8/10
            "
"alanfield-73765","24 October 2018","This movie was a brilliant portrayal of the mixed up life, and massive talent that was Mercury ... and that is in no way meant to diminish the other fabulous musicians who made up this wonderful band. Whilst Freddie's life and death are quite well documented, his inner turmoil is not - this movie opens this up for all to see, and highlights actions and individuals who had a large influence on his fragile life, both good and horrendously bad. If only he could have been happy with the knowledge that he had one of the best singing voices, if not THE best, that ever fronted a rock band. Rami Malek does a wonderful job of portraying him, and in so many ways has captured his mannerisms to a tee. Loved it, and listening to the music in an IMAX auditorium was brilliant.","
            9/10
            "
"raudafitriani","2 November 2018","Rami Malek will be forever one of my favorite actors since the day I've watched Mr Robot, I knew he will be one of the biggest star someday. Freddie Mercury is legend, everyone loves him but not everyone knows his story. Freddy Mercury is fearless, but not everyone knows about his desperately lonely. I dont't know how accurate the storytelling is but this movie is absolutely mind blowing and brilliant, such a perfect tribute to the legend!I'm not saying this movie is perfect or masterpiece, infact this movie has some issues with the director and delayed. But after I walk out of the theater, my heart is filled with joy, tears of happiness, brought so many emotions. That's how you know the movie is fantastic, darling. The casting was brilliant, bravo! I can't get enough with Rami Malek, he obviously worked so hard, Rami Malek pulls off an amazing performance, he just brings Freddie back to life and I don't think you will see any better film about Freddie Mercury again. It's an oppurtunity of a lifetime, every aspects of this movie was executed beautifully. Also the whole cast was so close to perfection! Gwilym as Brian May, Ben as Roger, and Joseph as John are amazing as Rami. Truly magnificent. I recommend to go and see this movie, whether you are fans of Queen or not.","
            10/10
            "
"TheLittleSongbird","27 October 2018","Have a lot of appreciation for Queen. Not a favourite band of mine by all means, but it is difficult to not understand their importance and appeal. They had some iconic songs (namely ""Bohemian Rhapsody"", ""We Will Rock You"", ""We Are the Champions"" and ""Don't Stop Me Now"") and Freddie Mercury's immediately recognisable vocals and Brian May's virtuosic guitar playing were always out of this world.'Bohemian Rhapsody' fascinated me when hearing about it and became most of my most anticipated films for the year. When hearing some negativity for the film, my expectations lowered a little, but saw it anyway because it did look and sound good. It did turn out to be a good decision, it is good to see that others here loved it and don't agree with the mixed critical reception respectfully.Sure there are clichés (such as what some of the rest of Queen say) , but very few films are not and many are much worse in this regard. Like a lot of biopics, there are inaccuracies that may drive die-hard Queen fans into a frenzy, and the odd factual distortion, but again 'Bohemian Rhapsody' is not the first or worst film to do this and am going to judge it as a film on its own and not on a documentary level.As a film on its own terms, 'Bohemian Rhapsody' has an awful lot to admire. Getting the issues out of the way, the ones that could have been handled much better was the with the revelation of Freddie Mercury's AIDs diagnosis to the rest of the band, could have been done with more tact and less crass (like saying what it was a consequence of) and revealed too early and at the wrong time, and the implications with the phone ringing off post-taking centre stage that the event was a flop when it actually was a triumph.Some of the early parts were a touch rushed as well, Mercury's ascent to stardom could have been less breakneck.However, 'Bohemian Rhapsody' is stylishly film and evokes the period beautifully. As to be expected, the songs are incredible and will be embedded in your brain for a long time, then again it is Queen of course. They are affectionately staged and performed in a way that made me remember what made me appreciate Queen in the first place.Didn't find the script that simplistic or cliff-notes like, while there is a nice mix of moment of laughter, tension and tears and enough parts that entertained and informed, if not as in depth as it should. The story is never dull and the Live Aid depiction is both rousing and poignant. It's capably directed and while all the performances are fine if underused, it is Rami Malek's outstanding turn as Mercury that will live long in the memory, true to what made Mercury so interesting a person and performer without being an impersonation.Concluding, impressively done and better than anticipated. 8/10 Bethany Cox","
            8/10
            "
"isabellacheng","18 February 2019","This has got to be the most overrated film in recent history. Overrated by the audience. Critics got it right this time, even though they rarely do.Rami Malek offered a great impression of Freddie Mercury. But impression it was. He failed to capture the essence, the exoticness of the real Freddie, and his manliness. Rami's acting made Freddie looked like a generic gay man, which Freddie wasn't. Freddie's might have been a weirdo, but never acted like a sissy. At times, his acting simply looked ugly, such as his exaggerated emphasis on Freddie's incisors. You can easily verify what I am saying by searching for videos of the real Freddie Mercury, and you can see the real Freddie never acted the way as portrayed by Rami. Sacha Baron Cohen, the original actor slated to play Freddie, might have been a better choice.The worst part of the movie was the script. Far too much ""creative liberty"" was taken to alter historical events. Omitting details for clarity, adding details to fill in the blanks, compressing events to fit his career in a 2-hour movie, that's normal. But Queen never broke up! Freddie making a solo was never a betrayal! What the heck? As if the life of Freddie bloody Mercury wasn't legendary enough, the writers had to throw in fictional events to fill up the runtime. This is disrespectful to Freddie's legacy and his fans, and at the same time misleading to the youth, into thinking he's a self-centered a-hole (well, more of a self-centered a-hole).So much of the movie was revolved around Freddie's relationship with Mary Austin. Then all of a sudden, in one short scene Jim Hutton was introduced (with yet another unnecessary historical inaccuracy). And that was it. When Jim reappeared at the end of the movie, I almost forgot who he was. Jim was supposed to be the other love of Freddie's life, and the screenwriters made them fell in love in one short conversation, never to meet again until the end?Then finally it comes to the music. There are times the editors cram in the songs for the sake of playing Queen's songs, without adding to the narrative of the movie. Heck, they re-enacted 70% of the whole Wembley concert, and yet you can easily find the original performance even on YouTube. If they had to invest that much runtime in one event, they'd better not skim over other important events... oh, wait. For a proper music biographical film, try ""Ray"" (2004).The movie wasn't bad. Just not worth all the praise it's been getting.","
            6/10
            "
"Jared_Andrews","27 November 2018","It's not Rami Malek's fault. Let's make that clear. He comes through with a fittingly outrageous performance and should be commended, especially considering all the mistakes taking place around him. His prosthetic teeth are cartoonish, but he pulls them off just fine. He also pulls off the voice, the posture and the curious wandering eyes that that make manifest his burgeoning sexuality that slowly becomes clear to him.'Bohemian Rhapsody' the movie's greatest problem is that there is no clear message or meaning. It's intentionally eclectic and mixed, but this concept works much better for the song than it does for the feature film. It never quite reveals what it's meant to say. If it only meant to pay cutesy fan service to the adoring Freddie Mercury and Queen fans of the world, then it's a job well done. If it meant to offer any other sort of statement about sexual expression or friendship or the creation of music, then it's mostly a miss.The movie's greatest failure is its insistence on submitting constant winking in-jokes about Queen. When Mike Myers' music executive character says that no one will ever sing along to Bohemian Rhapsody while riding in a car, we all chuckle. Or, at least, we're supposed to. The crowd around me certainly did, but I just rolled my eyes. Moments like are not as clever as the filmmakers believe them to be.The other greatest failures come from an inability to make moments believable. The lip syncing could be overlooked (even though it's awful) because no actor can reasonably be expected to make that perfect, but it's the director's issue for not choosing alternate angles to hide the mouths. Worse than the lip syncing is Freddie's relationship with his father. Dad is a classic conservative who disapproves of Freddie's lifestyle (the singing more so than the homosexuality, we're led to believe), and that's the entirety of their relationship until the cringeworthy resolution near the end. It's not even worthy of being considered manipulative because it's so weakly executed.Another thing: did Freddie really not know he was gay until Queen had been a smashing success for years? Everyone else seemed to know and accept it. That seemed to be a bizarre choice of the writers.If you love the music and absolutely adore Queen, you'll probably like this movie. But if you look to poke any holes at all in film itself, you'll spring a few dozen leaks. Freddie deserved better than this.","
            5/10
            "
"Jeremy_Urquhart","13 February 2020","It's not surprising to me that Bohemian Rhapsody was a hit. Queen have always been a popular and well-loved band, and even if some consider it overplayed, the song this film is named after is undoubtedly iconic and quite the musical achievement. What does surprise me is just how much of a hit this was, raking in something close to a billion US dollars worldwide and earning several Academy Awards. If I'd watched it before the hype, I'm sure I would have found it a solid yet potentially unmemorable music biopic and then moved on, only to be surprised when it got the kind of acclaim, box office results, and awards attention it did.It also puts me in a position where much of what can be said about Bohemian Rhapsody has already been said. The criticism when it comes to some aspects of this film have been extensive, so I will briefly say that I agree with many of them. A harder edged look at Freddie Mercury would have been much better, because the film can only scratch the surface when it comes to his lifestyle, partying, and the various partners he had throughout his career. The pacing is a little too frantic, and some scenes are put together in a rather gimmicky, blunt manner (the biggest offender for me was the press meeting scene, where Mercury becomes overwhelmed at all the repetitive questions being thrown at him; it was filmed and edited in a way that I thought would look tacky in a student film, let alone a large scale Hollywood production). Then there's the whole matter of the surviving band members' involvement, including speculation that they wanted to tone down any edgy aspects and also make themselves look good in the process (oh! And give the actors that depict them more screen time. I think a lot of the clunky filmmaking and editing choices come down to those surviving band members wanting to increase the amount of time their personas were in the movie. This creates an awkward sensation where Bohemian Rhapsody is something in-between a Freddie Mercury biopic and a Queen biopic, but failing to truly excel in either regard). And then there's the matter of historical accuracy, which is ignored in some areas, but is far from an unforgivable sin for the most part, as far as I'm concerned.Rami Malek was highly praised for his depiction of Mercury and to be honest, he was good? But not fantastic. I think the fake teeth did a lot of the acting for him, and giving a good impression of a well-known historical figure certainly takes skill, but I'm not as blown away by what he did as many seem to be. Everyone else in the cast ranged from just okay to decent- there weren't really many standouts.The soundtrack is fun but it's Queen, so what else would you expect? Additionally, Bohemian Rhapsody is thankfully not boring; I guess a positive aspect of the frenetic, exhausting pace is that the film is never given the opportunity to drag. It's really the Live Aid concert recreation that saves this movie, and in the end, I almost wished I was watching that for two hours instead of the rest of this movie... which I still can't say is terrible. That concert recreation is a decent pay-off, and the movie is somewhat engaging and with a good (still not great, in my opinion) lead performance at its centre. It just failed to move or entertain or shock or make me think much beyond that. It's a perfect lazy Sunday afternoon movie, but beyond that, include me among the people who otherwise don't really understand what all the fuss was about.","
            6/10
            "
"jackrlarson-72679","23 October 2018","One of the best movies of the year! The performances are all excellent. The music surpasses what I had imagined. Brings back the eighties superbly. The last 15 to 20 brought tears to many in the showing I was at.
Don't miss it.","
            9/10
            "
